Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.0039364009609442075,0.0003072489446279936,5.902019649726209,0.002709362502593727
ZDT2,0.026514385498803507,0.016495914156466427,5.19372882082922,0.20355404192179322
ZDT3,0.0103514768576741,0.00202391492619757,7.389935928710258,0.011596618282104974
ZDT4,16.701162449346196,3.4758829241358726,0.0,0.0
ZDT6,0.0011421222690718713,8.631358909643503e-05,5.153511498930652,2.045078992220721e-05
WFG1,1.4284544971226596,0.01959995105297905,45.03551369488672,0.5486830961957245
WFG2,0.3224544084716803,0.10161389073762302,90.58211034916765,4.662461438163812
WFG3,0.2488958942577625,0.02805383501736636,66.42084404683354,1.093959349687114
WFG4,0.2307608466179725,0.007137977282441211,69.78915758600318,0.3038431298156645
WFG5,0.47288663703428513,0.11457950813909554,56.06860207214101,4.882349605948319
WFG6,0.31761429922721884,0.014837202444977967,66.12287587654856,0.6634963150524429
WFG7,0.38253035595729173,0.011235668956740557,63.20477093307866,0.4948629551868321
WFG8,0.44268031159379634,0.013281476216789245,59.351400183856306,0.7308258586146061
WFG9,0.25957263953088144,0.006653952320668446,67.1582069233148,0.30043798065417554
